company_name,date_first_certified,date_certified,current_status,description,industry,industry_category,products_and_services,country,state,city,sector,size,b_corp_profile,website,assessment_year,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,geom,specific,lat,long
The Vegan Broker Inc.,2017-05-30,2017-05-30,certified,"The Vegan Broker's mission is to make a difference in the retail market by supporting exclusively vegan manufacturers who are dedicated to producing cruelty-free and ethically sourced products. The Vegan Broker is on a mission to inspire, educate, reinvent and create a conscious shift towards a more clean and plant-based world. They donate a percentage of profits to local and international agencies that are dedicated to making social change. The Vegan Broker strives to exceed all the environmental legislation that relates to our company.
 
 The Vegan Broker is committed to leading the industry in minimizing the impact of its activities on the environment and creating a cleaner and healthier world. They are strong believers in Ôvoting with your dollarÕ and forming successful working relationships within our community. They are committed to being as green as possible and never comprising the environment for the sake of profits.
 
 The Vegan Broker Inc. is dedicated to ushering a conscious shift in the retail marketplace that promotes the availability of more vegan food offerings. The vegan diet is the most environmentally conscious diet to follow. They actively encourage customers and retailers to support vegan food choices.",Food & Beverage,Consumer Products & Services,Exclusively Vegan Brand Management and Food Production,Canada,Ontario,Toronto,Manufacturing, 1-9,bcorporation.net/directory/the-vegan-broker-inc,www.theveganbroker.com,2017,124.1,57.1,0.0,39.8,4.5,22.7,"{'lat': 43.653226, 'lng': -79.3831843}",0,43.653226,-79.3831843
PeaceWorks Technology Solutions,2011-02-23,2017-06-30,certified,"PeaceWorks Technology Solutions provides first-rate services and technology solutions that enable organizations to achieve their mission with increased ease and efficiency. They begin with genuine client-focused relationships, connecting client needs with sustainable and reliable technology solutions. PeaceWorks offers a complete suite of solutions including strategic planning, custom software development, CRM technologies, cloud computing, websites, hosting, reselling, as well as network implementation, maintenance and support. PeaceWorks technology offerings are backed by skilled employees and supported by a diverse team of technical consultants. Their end to end solutions have made PeaceWorks the perfect choice for hundreds of not-for-profit and for-profit business clients for more than 20 years.
 
PeaceWorks promotes socially responsible entrepreneurship. PeaceWorks provides computer consulting services that empower both for-profit and not-for-profit organizations. PeaceWorks' vision is to build relationships with people and organizations, creating dynamic communities that use technology for the benefit of all. All PeaceWorks' employees share that same vision for equality and affordability which is evident in every client relationship that is formed.",IT Software & Services/Web Design,Business Products & Services,Full IT Consulting,Canada,Ontario,Waterloo,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/peaceworks-technology-solutions,www.peaceworks.ca,2017,138.0,20.4,26.7,6.3,17.3,67.3,"{'lat': 43.4945968, 'lng': -80.54403339999999}",1,43.4945968,-80.54403339999999
Borden Communications + Design Inc.,2011-12-28,2016-07-15,certified,"Borden Communications + Design Inc. is a highly passionate, hyper-focused, common-sense business development + marketing firm.",Marketing & Communications Services,Business Products & Services,Marketing Communications,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/borden-communications-design-inc,www.bordencom.com,2016,109.0,44.8,12.1,7.6,14.1,30.4,"{'lat': 43.7063679, 'lng': -79.43526659999999}",1,43.7063679,-79.43526659999999
Grey Rock Clothing Co.,2015-04-17,2017-12-21,certified,"Grey Rock Clothing's vision is to provide a one-stop shop for sweatshop-free and organic clothing. They opened their downtown Guelph brick and mortar location in August 2012 and are working on growing their online store in 2015.
 
To Grey Rock sustainable style means ethical and fair trade working conditions for the entire supply chain of workers, organic and environmentally friendly fabrics and processes being utilized wherever possible, and transparency in the production of clothing.
 
Grey Rock has spent a great deal of time researching and analyzing their suppliers and the global clothing market. They carefully curates a collection of pieces each season and have the privilege to work with designers in Canada and North America, as well as in developing countries. Their supplier's have been granted multiple best in class third party certifications upholding the storefront's perspective on the apparel industry. This has led them to the belief that the power lies with the customer and the responsibility lies with the supplier, to ensure position contribution to the clothing industry.
 
Grey Rock hopes you enjoy their carefully curated collection of men’s and women’s unique and stylized sweatshop-free, ethical clothing.","Apparel, Footwear & Accessories",Consumer Products & Services,Men's and Women's Clothing and Accessories,Canada,Ontario,Guelph,Wholesale/Retail, 1-9,bcorporation.net/directory/grey-rock-clothing-co,greyrockclothingco.com,2017,88.0,49.6,0.0,15.9,4.2,18.3,"{'lat': 43.5454929, 'lng': -80.2508806}",1,43.5454929,-80.2508806
jiiWA,2019-08-29,2019-08-29,certified,jiiWA's digital platform helps impact organizations learn more about their programs and people they serve through data.,IT Software & Services/Web Design,Business Products & Services,Cloud software simplifying data collection for impact organizations,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/jii-wa,www.jiiwa.com,2019,83.6,19.6,45.8,0.0,6.5,11.7,"{'lat': 43.653226, 'lng': -79.3831843}",0,43.653226,-79.3831843
Fiix,2017-07-31,2017-07-31,certified,"Built for connectivity, mobility, and simplicity, Fiix makes cloud-based maintenance software that is revolutionizing how thousands of companies worldwide schedule, organize, and track maintenance.",IT Software & Services/Web Design,Business Products & Services,Computerized Maintenance Management System (CMMS),Canada,Ontario,Toronto,Service, 10-49,bcorporation.net/directory/fiix,fiixsoftware.com,2017,80.7,21.3,0.0,12.2,15.6,31.6,"{'lat': 43.6533783, 'lng': -79.44744159999999}",1,43.6533783,-79.44744159999999
BlueDot,2013-11-13,2018-04-26,certified,"BlueDot (formerly known as BioDiaspora) develops risk assessment technology that enables global leaders to accurately predict and anticipate how emerging infectious disease threats will spread around the world. This capability was scientifically validated during the 2009 H1N1 influenza pandemic and published in the New England Journal of Medicine. BlueDot technology is extensively used by United States Centers for Disease Control, World Health Organization, Public Health Agency of Canada, and other leading institutions that seek to mitigate against the health and economic risks of infectious diseases. BlueDot technology is an advanced web-based enterprise solution that has an integrated live stream of global epidemic intelligence from worldwide infectious disease surveillance systems and contextualizes these threats by integrating an extensive number of datasets pertaining to human and animal populations, climate, health system environments, economic conditions, and many other factors. BlueDot users can conduct in-depth analysis of the continuously evolving architecture of the global airline transportation network and the origins, travel routes, and destinations of more than two billion passengers who pass through it every year.",IT Software & Services/Web Design,Business Products & Services,Predict spread of infectious disease,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/bluedot,bluedot.global,2018,80.0,16.0,12.1,7.2,15.0,29.5,"{'lat': 43.6388865, 'lng': -79.380352}",1,43.6388865,-79.380352
NOW Magazine,2012-12-12,2017-05-31,certified,"NOW magazine's vision is to invent and develop media rich in integrity and craft in the interest of social transformation, with special commitments to economic, personal and ecological well-being based on sharing and empowerment for all.",Print Publications,Media,News and Entertainment,Canada,Ontario,Toronto,Service with Significant Environmental Footprint, 50-249,bcorporation.net/directory/now-magazine,www.nowtoronto.com,2016,82.1,11.5,24.4,15.6,11.1,19.5,"{'lat': 43.6499683, 'lng': -79.39754239999999}",1,43.6499683,-79.39754239999999
Impakt,2012-10-08,2017-01-24,certified,Impakt helps organizations to become social purpose leaders.,Sustainability Consulting,Business Products & Services,Advisory Services,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/impakt,www.impaktcorp.com,2016,114.1,22.3,50.9,7.0,13.4,20.5,"{'lat': 43.66014029999999, 'lng': -79.3533255}",1,43.66014029999999,-79.3533255
Corporate Knights,2012-10-31,2016-10-11,certified,"Corporate Knights, the company for clean capitalism, uses the latest data and analysis tools to empower markets to make the world a better place. Corporate Knights is comprised of three divisions, which rate, animate and agitate to drive this shift to a more symbiotic form of capitalism. 
 
1. Corporate Knights Capital team provides quantitative sustainability services for investors and benchmarking services for corporates. The division also leads external research initiatives, including the Global 100 Most Sustainable Corporations in the World ranking released each year at the World Economic Forum and the Sustainable Stock Exchanges. 
 
2. Corporate Knights Magazine publishes the world's largest circulation magazine focused on sustainable business. It is distributed quarterly in The Washington Post and Canada’s Globe and Mail, and to 30,000 of the world’s most influential business and political decision-makers. 
 
3. Corporate Knights acts as a secretariat for The Council for Clean Capitalism, a council of companies working to catalyze policy changes so that sustainable activity in the economy is better rewarded and financed.",IT Software & Services/Web Design,Business Products & Services,"Media, Research and Financial Products",Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/corporate-knights,www.corporateknights.com,2016,81.9,14.5,20.6,4.5,15.9,26.4,"{'lat': 43.648112, 'lng': -79.39562099999999}",1,43.648112,-79.39562099999999
Urbanspace Property Group,2012-12-13,2019-03-07,certified,Urbanspace Property Group preserves and restores historic and architecturally significant buildings with the goal of adaptively reusing buildings which no longer serve their original purpose.,Real Estate Development,Building,Real estate,Canada,Ontario,Toronto,Service with Significant Environmental Footprint, 10-49,bcorporation.net/directory/urbanspace-property-group,www.urbanspace.org,2018,100.8,41.2,6.1,13.0,13.4,26.9,"{'lat': 43.6478841, 'lng': -79.39482339999999}",1,43.6478841,-79.39482339999999
cmv Consulting,2017-06-20,2017-06-20,certified,Provide organizations with strategic communications advice so they can tell the world about their sustainability achievements and reap all the benefits that come from being awesomely sustainable.,Sustainability Consulting,Business Products & Services,Communications services with a focus on sustainability,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/cmv-consulting,c-mv.ca,2017,87.8,37.5,33.5,9.8,7.0,,"{'lat': 43.6781458, 'lng': -79.27967199999999}",1,43.6781458,-79.27967199999999
Barrett and Welsh,2016-06-29,2019-04-30,certified,"Barrett and Welsh produces award-winning ideas for transit (they may be the world leader in this category), non-profits, small businesses, government, cars, beer, financial services and packaged goods. Their clients always come first. Before corner offices. Before morning coffee. Immigrant-owned.",Marketing & Communications Services,Business Products & Services,"Advertising, multicultural advertising, marketing, branding",Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/barrett-and-welsh-inc,www.barrettandwelsh.com,2018,98.6,32.6,4.7,9.0,18.4,33.7,"{'lat': 43.6783918, 'lng': -79.2994004}",1,43.6783918,-79.2994004
Kotn,2017-09-05,2017-09-05,certified,"Kotn is a direct to consumer basics company. They create timeless essentials made out of Egyptian cotton at an affordable price. Kotn use the finest cotton in the world, and their mission is to save Egyptian cotton, and people it supports, from extinction.

 It is incredibly important for companies that share a similar mindset of bettering the world around them to band together.","Apparel, Footwear & Accessories",Consumer Products & Services,"Retail, Clothing, Basics, Essentials",Canada,Ontario,Toronto,Wholesale/Retail, 1-9,bcorporation.net/directory/kotn,www.kotn.com,2017,95.5,61.2,0.0,8.1,8.7,17.5,"{'lat': 43.6460246, 'lng': -79.410299}",1,43.6460246,-79.410299
Textbooks for Change,2014-06-20,2019-10-15,certified,Textbooks for Change provides affordable access to educational material to students both locally and across the globe. Additionally 50% of net proceeds are either distributed to non-profits or to micro-finance loans for entrepreneurs across the globe.,Books & Media,Consumer Products & Services,University & College Textbooks,Canada,Ontario,Hamilton,Wholesale/Retail, 1-9,bcorporation.net/directory/textbooks-change,textbooksforchange.ca,2019,127.2,41.2,21.9,24.9,14.2,24.7,"{'lat': 43.2557206, 'lng': -79.8711024}",1,43.2557206,-79.8711024
The Delphi Group,2013-12-05,2017-03-16,certified,"The Delphi Group provides strategic consulting services and innovative solutions to corporations and public sector organizations. As recognized leaders in climate change, corporate sustainability, green economy and cleantech/innovation, they bring a unique combination of policy expertise, strategic thinking and technical knowledge to each initiative. They help leading organizations generate value while balancing economic, social and environmental priorities. www.delphi.ca",Sustainability Consulting,Business Products & Services,Management consulting & supporting software products,Canada,Ontario,Ottawa,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/the-delphi-group,www.delphi.ca,2016,81.9,15.5,4.8,15.4,15.8,30.4,"{'lat': 45.413525, 'lng': -75.6959413}",1,45.413525,-75.6959413
Reunion Coffee Roasters,2013-07-12,2019-02-13,certified,"Reunion Coffee Roasters (RCR) is a Canadian, family-owned specialty coffee roaster. They provide customers around the world with exceptional tasting coffees, including Organic, Fair Trade, Direct Trade and Rainforest Alliance certified varieties. Headquartered in Oakville, Ontario, RCR operates out of one of Canada’s largest renewable energy-powered roasting facilities, through their relationship with Bullfrog Power.
 
Reunion Coffee Roasters is a Certified B Corporation and has made it their mission to use coffee as a force for good in the world. To do this, they maintain long-standing partnerships with producers and farmers who share in this commitment and who apply stringent and transparent processes to how they grow and harvest ethical coffee.
 
In 2015, the company was named as Roast Magazine’s global Macro Roaster of the Year, an award that recognizes companies that roast coffees of superior quality and exemplify a dedication to sustainability. They are part of Canada’s Greenest Employers list (2017, 2018) and have been named one of Canada’s Top 100 Employers (2018).",Food & Beverage,Consumer Products & Services,Coffee,Canada,Ontario,Oakville,Manufacturing, 50-249,bcorporation.net/directory/reunion-coffee-roasters,www.reunioncoffeeroasters.com,2018,109.3,40.1,,29.3,13.8,26.0,"{'lat': 43.650552, 'lng': -79.450453}",1,43.650552,-79.450453
GrantBook,2013-12-09,2018-11-29,certified,"GrantBook is a social purpose business specializing in the procurement and implementation of cloud-based tools that help grantmakers and their networks to maintain a more social and technology-enabled workplace. GrantBook offers expertise and proactive support as its clients take the important steps to transition some or all of their operations to the cloud. The team curates lightweight and continuously updated technology solutions to advance collaboration, grants management, and knowledge-sharing.
 
Because GrantBook has social-enterprise and philanthropic sector knowledge and works exclusively with tools that are deployed in this sector, they are able to optimize grantmaking and fundraising processes through time-saving solutions that help direct greater resources with fewer pains to the social sector. Unlike many technology consultants and software providers, their work is sector specific and not tied to any one software vendor or tool.",IT Software & Services/Web Design,Business Products & Services,Tools for grantmakers,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/grantbook,www.grantbook.org,2018,95.4,25.3,16.3,6.4,16.4,30.8,"{'lat': 43.6633261, 'lng': -79.4106269}",1,43.6633261,-79.4106269
Riverside Natural Foods Ltd.,2017-12-15,2017-12-15,certified,Riverside manufactures natural and organic snacks under their MADEGOOD brand and also offers private label and contract services for companies looking for the same,Food & Beverage,Consumer Products & Services,"Granola Bars, MINI Bites, Crispy Squares, Fruit & Nut Snacks, Cereals, Granola",Canada,Ontario,Vaughan,Manufacturing, 50-249,bcorporation.net/directory/riverside-natural-foods-ltd,www.riversidenaturals.com,2017,81.1,22.3,5.8,22.7,11.0,19.3,"{'lat': 43.77935069999999, 'lng': -79.50806949999999}",1,43.77935069999999,-79.50806949999999
theturnlab inc.,2013-10-29,2018-03-22,certified,"Formerly known as Top Drawer Creative, theturnlab has a mission to be the change agent for those challenging the current. theturnlab is at the nexus of marketing, culture and technology. They provide 360˚ solutions for brands and organizations facing real-world business challenges. theturnlab is a socially and environmentally conscious company operating within a triple bottom line framework of people, planet and profits.

theturnlab was founded to practice the art of influence for social good. They understand that influencing the way people think and feel through brand experience is where the future of consumer engagement lies. They are a socially and environmentally conscious company that strives to influence change for the better. Being passionate and honest in their approach is part of their commitment to like-minded clients such as fellow B Corp companies Bullfrog Power and Genuine Health. 

theturnlab is an advertising agency with a unique specialization. They focus on a specific consumer psychographic segment called AHAA (Active, Healthy, Affluent, Aware) and the brands that target this group. They have built at 2000-strong AHAA consumer panel that provide intelligence on how brands and products can be improved. And this Toronto based boutique agency has another claim to fame. They move the sales needle -by influencing the consumer through a 360-degree brand experience called ICE (Immersive Consumer Engagement). No stone is left unturned, whether it's digital, social, experiential or traditional media in a quest to build authenticity and market share for their clients. 

theturnlab does not profess to fit every brand. They prefer to work with clients that are aligned with their values and have an entrepreneurial spirit. Their triple bottom line starts with quality relationships (both internal and external), adds corporate social responsibility and finally a sustainable profit model.",Marketing & Communications Services,Business Products & Services,Advertising,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/theturnlab,theturnlab.com,2017,86.6,24.9,1.6,15.0,14.8,30.3,"{'lat': 43.6725809, 'lng': -79.2884196}",1,43.6725809,-79.2884196
Encircled,2018-02-20,2018-02-20,certified,"Encircled is on a mission to create versatile, high-quality and responsibly-made clothing, so that their customers can be truly proud of their wardrobes.","Apparel, Footwear & Accessories",Consumer Products & Services,Women's Clothing and Accessories,Canada,Ontario,Toronto,Wholesale/Retail, 1-9,bcorporation.net/directory/encircled,www.encircled.ca,2017,91.0,25.9,0.0,30.0,9.9,25.2,"{'lat': 43.6653769, 'lng': -79.450221}",1,43.6653769,-79.450221
African Bronze Honey Company Limited,2014-10-17,2020-04-17,certified,"African Bronze Honey Company Limited works with beekeeping projects in Africa to market and value-add their sustainably harvested, fair trade, organic, forest honey. Their goal is to support thousands of independent beekeepers who protect pristine forest environments and create economic opportunity for themselves and their families.",Food & Beverage,Consumer Products & Services,Honey & Related Products,Canada,Ontario,Cardinal,Wholesale/Retail, 1-9,bcorporation.net/directory/african-bronze-honey-company-inc,www.africanbronzehoney.com,2019,104.9,41.1,2.9,31.3,13.2,16.1,"{'lat': 44.7899786, 'lng': -75.3785694}",1,44.7899786,-75.3785694
Quinn & Partners Inc.,2014-10-01,2019-12-17,certified,"Quinn & Partners is a Canadian sustainability strategy and integration advisory firm. We work with organizations to design and execute sustainability leadership strategies to strengthen our clients’ position with customers, investors, employees, industry",Sustainability Consulting,Business Products & Services,Sustainability / Strategy Consulting,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/quinn-partners-inc,quinnandpartners.com,2019,108.2,19.9,30.8,10.4,16.0,31.0,"{'lat': 43.653226, 'lng': -79.3831843}",0,43.653226,-79.3831843
Beekeeper's Naturals Inc.,2016-02-08,2019-04-17,certified,Beekeeper's Naturals Inc. sells innovative natural health products that incorporate sustainably sourced bee products and are dedicated to raising awareness and funding to help save the bees.,Food & Beverage,Consumer Products & Services,Natural health products,Canada,Ontario,Toronto,Wholesale/Retail, 1-9,bcorporation.net/directory/beekeepers-naturals-inc,www.beekeepersnaturals.com,2018,86.1,30.7,6.4,18.1,13.3,17.4,"{'lat': 43.653226, 'lng': -79.3831843}",0,43.653226,-79.3831843
GROSCHE International Inc.,2015-10-26,2017-11-07,certified,"GROSCHE is a social enterprise that manufactures and distributes coffee, tea, and water accessories. GROSCHE’s mission is to help those affected by the safe water crisis, which it does through product sales. GROSCHE provides people with sustainable water purification means for their daily water needs, as well as education on safe water use and sanitation. By doing this work in six countries GROSCHE is having a global impact, all supported by its customers.",Food & Beverage,Consumer Products & Services,"GROSCHE specializes in manufacturing craft coffee, tea, and water accessories",Canada,Ontario,Cambridge,Wholesale/Retail, 10-49,bcorporation.net/directory/grosche-international-inc,www.grosche.ca,2017,101.0,20.7,13.9,24.4,15.7,26.3,"{'lat': 43.4324581, 'lng': -80.3126549}",1,43.4324581,-80.3126549
Kindred Credit Union,2016-12-14,2020-04-23,certified,Kindred Credit Union (Kindred) is a member-owned financial cooperative with 8 branches in Ontario. Their values-centered approach is woven into everything they do.,Credit Provider,Financial Services,"Retail banking, lending, and investment services",Canada,Ontario,Kitchener,Service with Minor Environmental Footprint, 50-249,bcorporation.net/directory/kindred-credit-union,www.kindredcu.com,2019,145.1,34.1,54.9,6.3,15.9,32.9,"{'lat': 43.4061519, 'lng': -80.4736003}",1,43.4061519,-80.4736003
Pearl Street Communications Inc,2017-12-18,2017-12-18,certified,"Pearl Street is a full service marketing, communications and training company that is passionate about working with organizations that care.",Marketing & Communications Services,Business Products & Services,Communications and Marketing,Canada,Ontario,Elora,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/pearl-street-communications-inc,www.pearlstreet.ca,2017,92.1,40.5,14.9,5.6,11.1,20.0,"{'lat': 43.676715, 'lng': -80.427339}",1,43.676715,-80.427339
Sarona Asset Management Inc,2011-11-03,2019-12-20,certified,"With a rich history stretching back to 1953, Sarona has extensive experience investing in Frontier and Emerging Markets. Their ambition is to use this experience to deliver top-quartile returns by investing growth capital in private equity funds and companies that benefit local communities and the environment. They focus on small to mid-market companies providing goods and services to meet the growing needs of the rising middle class in these markets.
 
 Sarona strives to achieve positive social and environmental outcomes in all its investments. Through its investment programme, Sarona seeks to create profitable and sustainable businesses.
 
 Targeted outcomes include:Creating jobsImproving job qualityEmpowering womenReducing environmental footprintImproving governanceBuilding sustainable communities",Equity Investor - Emerging Markets,Financial Services,Boutique Investment Firm,Canada,Ontario,Kitchener,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/sarona-asset-management-inc,saronafund.com,2019,139.0,17.7,48.3,12.3,23.3,37.1,"{'lat': 43.4538231, 'lng': -80.4961599}",1,43.4538231,-80.4961599
Equator Coffee Roasters Inc.,2019-08-12,2019-08-12,certified,"Equator is a Canadian Coffee Roasting company that exists to connect the coffee drinker to the coffee farmer, from one family to another. They believe the world is a better place with coffee that is sourced ethically and grown organically. At Equator, coffee is more than just a beverage; it is a way of changing the world.",Food & Beverage,Consumer Products & Services,"Fair trade, Organic coffee.",Canada,Ontario,Almonte,Manufacturing, 10-49,bcorporation.net/directory/equator-coffee-roasters-inc,www.equator.ca,2018,80.9,38.1,,17.9,6.5,18.2,"{'lat': 45.2351633, 'lng': -76.1812327}",1,45.2351633,-76.1812327
Ernest Cider Co. LTD.,2017-10-19,2017-10-19,certified,Manufacture hard cider from pressed apple juice.,Food & Beverage,Consumer Products & Services,Hard Cider,Canada,Ontario,Aurora,Manufacturing, 1-9,bcorporation.net/directory/ernest-cider-co-ltd,www.ernestcider.com,2017,81.8,21.6,0.0,26.5,13.3,20.4,"{'lat': 43.9938424, 'lng': -79.4569947}",1,43.9938424,-79.4569947
Mama Earth Organics,2017-02-13,2017-02-13,certified,"Mama Earth Organics delivers fresh, organic food from amazing local farms and artisans to homes in and around Toronto. They believe in helping people live better by using good food to spread health, happiness and community.",Food & Beverage,Consumer Products & Services,Organic Food Delivery,Canada,Ontario,Toronto,Agriculture/Growers, 1-9,bcorporation.net/directory/mama-earth-organics,www.mamaearth.ca,2016,98.8,42.5,0.0,31.3,9.3,15.7,"{'lat': 43.653226, 'lng': -79.3831843}",0,43.653226,-79.3831843
Ramp Communications Inc.,2016-10-25,2019-10-18,certified,"Ramp is an independent, full-service marketing and communications agency intent on helping you get the attention you deserve. Through integrated campaigns, they give “brands for good” their voice.

Social Channels:
Facebook - https://www.facebook.com/RampAgencyTO/ 
Twitter - https://twitter.com/RampAgencyTO
Instagram - https://www.instagram.com/RampAgencyTO/",Marketing & Communications Services,Business Products & Services,Marketing and Communications Services,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/ramp-communications-inc,ramp.agency,2019,118.4,28.7,26.3,8.1,16.1,38.9,"{'lat': 43.6574041, 'lng': -79.35686989999999}",1,43.6574041,-79.35686989999999
LeDaveed,2017-08-24,2017-08-24,certified,"LeDaveed works tirelessly to create stunning, long-lasting leather goods which simplify your life and inspire you. They are uncompromising on three principles: offering timeless quality, adding freedom to your days, and using business as a force for good.","Apparel, Footwear & Accessories",Consumer Products & Services,Leather bags & carry goods,Canada,Ontario,Toronto,Wholesale/Retail, 1-9,bcorporation.net/directory/ledaveed,www.ledaveed.com,2017,86.0,22.4,0.0,28.6,13.5,21.5,"{'lat': 43.6470739, 'lng': -79.4196508}",1,43.6470739,-79.4196508
Copernicus Educational Products,2018-01-29,2018-01-29,certified,Copernicus has been a designer and manufacturer of classroom equipment for elementary schools for 29 years.,Building Materials,Building,Designs and manufactures elementary school (Pre-K -Grade 8) equipment,Canada,Ontario,Arthur,Manufacturing, 10-49,bcorporation.net/directory/copernicus-educational-products,www.copernicused.com,2017,80.5,21.2,0.0,18.6,12.8,27.9,"{'lat': 43.8353159, 'lng': -80.5006294}",1,43.8353159,-80.5006294
AET Group Inc.,2019-12-11,2019-12-11,certified,"AET Group is an environmental consultancy firm committed to their ecological, financial and social responsibilities, working together collaboratively to find innovative solutions to make a difference both locally and globally.",Sustainability Consulting,Business Products & Services,Environmental Consulting.,Canada,Ontario,Kitchener,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/aet-group-inc,www.aet98.com,2019,97.6,20.3,6.4,24.4,11.3,35.0,"{'lat': 43.4620884, 'lng': -80.4797893}",1,43.4620884,-80.4797893
Forever Natural Inc.,2019-12-19,2019-12-19,certified,"Forever Natural's products with purpose bring beauty rituals into daily lives, and improves impact on the planet. Over a decade ago, their original products were designed to promote skin exfoliation for iconic natural brand, Burt’s Bees. In 2015, Urban Spa spun off into its own company, rebranded, and added makeup brushes to their spa tools offering. Their brand originally had success in the natural health industry, with their sustainable spa and body tools. In 2019, Urban Spa Haircare launched with innovative packaging and high-performing natural formulations. They’ve always taken pride in their business model of sustainability, rooted in their desire to design products that create positive change. Better beauty, for a better planet.",Home & Personal Care,Consumer Products & Services,"Hair Care, Bath Accessories",Canada,Ontario,Toronto,Wholesale/Retail, 1-9,bcorporation.net/directory/forever-natural-inc,UrbanSpa.ca,2019,87.0,20.0,2.9,22.3,13.1,28.4,"{'lat': 43.653226, 'lng': -79.3831843}",0,43.653226,-79.3831843
Career Aviators,2017-04-12,2017-04-12,certified,"Career Aviators provides funding to innovative youth leadership initiatives in Guelph, Ontario,Canada to strengthen the resilience of youth living in stressful life situations. This is accomplished through the delivery of leading edge career management consultation services designed to advance the careers of their clients.
 
Career Aviators works weekly with clients, from across Canada, to help them find jobs in which they will excel, value highly and love to do. Clients are seen face to face in Toronto, Guelph, Hamilton, and Kitchener and by internet, phone and email in all other regions of Canada.
 
They offer career and leadership development workshops without charge to local and national charitable and non-profit educational organizations.

Career Aviators believes that they can create a more sustainable, productive and healthy community by doing this on a bigger scale. Their success will inspire other businesses to join in this approach. The model will also bring attention to the critical importance of strengthening the resilience of children and families for a more sustainable future.",HR Consulting & Recruiting,Business Products & Services,Career Management and Leadership Development,Canada,Ontario,Guelph,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/career-aviators,www.careeraviators.com,2017,94.6,68.7,20.4,0.0,5.5,,"{'lat': 43.5450756, 'lng': -80.245255}",1,43.5450756,-80.245255
Chickapea,2018-06-11,2018-06-11,certified,"Chickapea’s mission is to create good for the world through nutritious, organic meal options and impactful social contributions. Founded by Shelby Taylor in 2015, Chickapea is making healthy eating simple and delicious across North America.",Food & Beverage,Consumer Products & Services,"Organic, High-Protein Pasta Made From Just 2 Ingredients: Chickpeas & Lentils",Canada,Ontario,Collingwood,Wholesale/Retail, 1-9,bcorporation.net/directory/chickapea,www.choosechickapea.com,2018,112.8,43.6,6.9,25.8,10.7,25.6,"{'lat': 44.5006756, 'lng': -80.2147246}",1,44.5006756,-80.2147246
Edward James Consulting Ltd.,2017-08-28,2017-08-28,certified,"Edward James Consulting Ltd. is a flourishing enterprise design consultancy. They help their clients take a systemic approach to architecting their response to the multi-faceted opportunity that is sustainability – environment/planet, social/people, economic/profit. They do this through three initiatives;

1. Flourishing Enterprise Innovation Toolkit - Tools for the Strongly Sustainable Revolution www.FlourishingBusiness.org 
They develop tools that enable strategy professionals & startup coaches to co-create future-fit strategies with their stakeholders that enable social benefits, environmental regeneration & improved financial outcomes.

2. Lean for Flourishing Startups - Innovating Innovation with the Startup Ecosystem www.Lean4Flourishing.biz
They work with start-up coaches & entrepreneurial encouragers (accelerators, incubators, etc.) to enable them to innovate the way they help their entrepreneurs achieve their personal and business goals, aligning them with the principles of flourishing.

3. Better My Business - Unleashing Innovation through Co-creation with Established Enterprises  www.BetterMy.biz 
They work with boards of directors, senior leadership teams & innovation clusters to enable them to co-create innovation strategy for better financial viability, social outcomes & environmental performance.",Management and Financial Consulting,Business Products & Services,"Enterprise design consultancy - direct consultant contracts, workshops/labs",Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/edward-james-consulting-ltd,www.EdwardJames.biz,2017,83.9,38.6,17.0,15.8,12.5,,"{'lat': 43.653226, 'lng': -79.3831843}",0,43.653226,-79.3831843
